name,translatable,values,values-de-rDE,values-en-rCA,values-en-rGB,values-fr,values-fr-rCA,values-fr-rFR,values-nl,values-sv,values-it,values-fr-rBE,values-nl-rBE,values-en-rBE,values-fr-rCH,values-de-rCH,values-fr-rLU,values-de-rLU,values-en-rLU,values-de-rAT,values-en-rIE,values-pl,values-fi,values-es,values-cs,values-hu
permission_storage_neverask,TRUE,Please enable external storage permissions in system settings under apps.,Bitte aktiviere den Speicherzugriff in deinen Systemeinstellungen.,Please enable external storage permissions in system settings under apps.,Please enable external storage permissions in system settings under apps.,Veuillez activer les permissions pour le stockage externe dans le menu Apps des réglages de votre téléphone.,Veuillez activer les permissions pour le stockage externe dans le menu Apps des réglages de votre téléphone.,Veuillez activer les permissions pour le stockage externe dans le menu Apps des réglages de votre téléphone.,Schakel externe opslag toestemming in bij systeem instellingen onder apps.,Vänligen aktivera åtkomsten till extern lagring i Systeminställngarna under appar,Si prega di consentire l'accesso alla memoria esterna dalle impostazioni di sistema.,Veuillez activer les permissions pour le stockage externe dans le menu Apps des réglages de votre téléphone.,Schakel externe opslag toestemming in bij systeem instellingen onder apps.,Please enable external storage permissions in system settings under apps.,Veuillez activer les permissions pour le stockage externe dans le menu Apps des réglages de votre téléphone.,Bitte aktiviere den Speicherzugriff in deinen Systemeinstellungen.,Veuillez activer les permissions pour le stockage externe dans le menu Apps des réglages de votre téléphone.,Bitte aktiviere den Speicherzugriff in deinen Systemeinstellungen.,Please enable external storage permissions in system settings under apps.,Bitte aktiviere den Speicherzugriff in deinen Systemeinstellungen.,Please enable external storage permissions in system settings under apps.,Prosimy o włączenie w ustawieniach systemowych pozwolenia na dostęp do pamięci zewnętrznej.,Salli ulkoinen tiedonhallinta sovellusten asetuksista.,Debes activar la autorización para el uso de la memoria externa en el menu de configuraciones de tu teléfono.,Povolte prosím přístup k externímu uložišti systémovém nastavení aplikací.,"Kérjük, engedélyezd tárhely hozzáférést a rendszerbeállításoknál."
permission_storage_rationale,TRUE,This permission is required for uploading portrait and resume.,Jetzt aktivieren und Inhalte wie einen Lebenslauf hochladen.,This permission is required for uploading portrait and resume.,This permission is required for uploading portrait and CV.,Cette permission est requise pour télécharger votre photo et CV.,Cette permission est requise pour télécharger votre photo et CV.,Cette permission est requise pour télécharger votre photo et CV.,Deze toestemming is nodig om een afbeelding en cv te uploaden.,Det här behövs för att kunna ladda upp bilder och CV.,Questa autorizzazione è necessaria per poter caricare il CV e l'immagine profilo.,Cette permission est requise pour télécharger votre photo et CV.,Deze toestemming is nodig om een afbeelding en cv te uploaden.,This permission is required for uploading portrait and CV.,Cette permission est requise pour télécharger votre photo et CV.,Jetzt aktivieren und Inhalte wie einen Lebenslauf hochladen.,Cette permission est requise pour télécharger votre photo et CV.,Jetzt aktivieren und Inhalte wie einen Lebenslauf hochladen.,This permission is required for uploading portrait and CV.,Jetzt aktivieren und Inhalte wie einen Lebenslauf hochladen.,This permission is required for uploading portrait and CV.,"To pozwolenie jest wymagane, aby wczytać zdjęcie profilowe i CV.","Tämä lupa tarvitaan, jotta voit ladata tiedostoja.",Esta autorización es necesaria para subir tu foto y tu CV.,Tento přístup je potřeba k nahrání životopisu a dalšího obsahu.,Ennek segítségével tudod feltölteni önéletrajzod.
permissions,TRUE,Permissions,Berechtigungen,Permissions,Permissions,Permissions,Permissions,Permissions,Toestemmingen,Tillåtelser,Autorizzazioni,Permissions,Toestemmingen,Permissions,Permissions,Berechtigungen,Permissions,Berechtigungen,Permissions,Berechtigungen,Permissions,Pozwolenia,Luvat,Autorizaciones,Přístupy,Engedélyek
phone,TRUE,Phone,Telefonnummer,Phone,Phone,Téléphone,Téléphone,Téléphone,Telefoon,Telefonnummer,Telefono,Téléphone,Telefoon,Phone,Téléphone,Telefonnummer,Téléphone,Telefonnummer,Phone,Telefonnummer,Phone,Telefon,Puhelin,Teléfono,Mobil,Telefon
posted_date,TRUE,Posted Date,Veröffentlicht,Posted Date,Posted Date,Date de publication,Date de publication,Date de publication,Datum geplaatst,Publiceringsdatum,Data pubblicazione,Date de publication,Datum geplaatst,Posted Date,Date de publication,Veröffentlicht,Date de publication,Veröffentlicht,Posted Date,Veröffentlicht,Posted Date,Data publikacji,Julkaisupäivämäärä,Fecha de publicación,Datum zveřejnění,Meghirdetve
present,TRUE,Present,Heute,Present,Present,Poste actuel,Aujourd\'hui,Poste actuel,Huidig,Senaste,Presente,Poste actuel,Huidig,Present,Poste actuel,Heute,Poste actuel,Heute,Present,Heute,Present,Obecnie,Esittää,Puesto actual,Aktuální,Jelenleg
preview,TRUE,Preview,Vorschau,Preview,Preview,Prévisualiser,Prévisualiser,Prévisualiser,Preview,Förhandsgranska,Anteprima,Prévisualiser,Preview,Preview,Prévisualiser,Vorschau,Prévisualiser,Vorschau,Preview,Vorschau,Preview,Podgląd,Esikatselu,Vista previa,Náhled,Előnézet
preview_detail_1,TRUE,Simply swipe! Right on the jobs you want to apply to. Left on the jobs you don\'t.,"Einfach swipen! Nach rechts zum Bewerben, nach links zum Überspringen.",Simply swipe! Right on the jobs you want to apply to. Left on the jobs you don\'t.,Simply swipe! Right on the jobs you want to apply to. Left on the jobs you don\'t.,"Swipez ! Vers la droite pour postuler, vers la gauche pour passer.","Glissez ! Vers la droite pour postuler, vers la gauche pour passer.","Swipez ! Vers la droite pour postuler, vers la gauche pour passer.","Gewoon swipen! Naar rechts als je wilt solliciteren, naar links als je de vacature niks vindt.",Det är bara att swipa höger om du vill söka ett jobb och vänster om du inte är intresserad.,Basta trascinare a destra per candidarti agli annunci che t'interessano e a sinistra per scartare gli altri.,"Swipez ! Vers la droite pour postuler, vers la gauche pour passer.","Gewoon swipen! Naar rechts als je wilt solliciteren, naar links als je de vacature niks vindt.",Simply swipe! Right on the jobs you want to apply to. Left on the jobs you don\'t.,"Swipez ! Vers la droite pour postuler, vers la gauche pour passer.","Einfach swipen! Nach rechts zum Bewerben, nach links zum Überspringen.","Swipez ! Vers la droite pour postuler, vers la gauche pour passer.","Einfach swipen! Nach rechts zum Bewerben, nach links zum Überspringen.",Simply swipe! Right on the jobs you want to apply to. Left on the jobs you don\'t.,"Einfach swipen! Nach rechts zum Bewerben, nach links zum Überspringen.",Simply swipe! Right on the jobs you want to apply to. Left on the jobs you don\'t.,Po prostu przesuń palcem! W prawo jeśli chcesz aplikować albo w lewo jeśli chcesz odrzucić ofertę.,Sinun tarvitsee vain pyyhkäistä! Oikealle hakeaksesi. Vasemmalle hylätäksesi.,¡Solo necesitas deslizar! Hacia la derecha para solicitar y hacia la izquierda para descartar.,"Je to jednoduché! Posuň doprava pro odpověď, doleva pro zahození nabídky.","Csak húzd! Jobbra azoknál az állásoknál, amikre pályázni akarsz. Balra azoknál, amikre nem."
preview_detail_2,TRUE,"All of the jobs you have matched with stay with you in the app, so you can easily keep up-to-date",Alle deine Matches werden in der App gesichert. So bleibst du up-to-date.,"All of the jobs you have matched with stay with you in the app, so you can easily keep up-to-date","All of the jobs you have matched with stay with you in the app, so you can easily keep up-to-date","Toutes les offres auxquelles vous avez postulé sont sauvegardées dans votre app, pour que vous puissez assurer un suivi efficace.","Toutes les offres auxquelles vous avez postulé sont sauvegardées dans votre app, pour que vous puissez assurer un suivi efficace.","Toutes les offres auxquelles vous avez postulé sont sauvegardées dans votre app, pour que vous puissez assurer un suivi efficace.",Alle vacatures waarop jij hebt gesolliciteerd blijven in de app zodat jij up-to-date blijft.,Alla jobb som du har matchats med sparas i appen för att du lättare ska kunna hålla dig uppdaterad.,"Tutti gli annunci a cui ti sei candidato rimangono salvati nell'app, così ne puoi tenere traccia facilmente","Toutes les offres auxquelles vous avez postulé sont sauvegardées dans votre app, pour que vous puissez assurer un suivi efficace.",Alle vacatures waarop jij hebt gesolliciteerd blijven in de app zodat jij up-to-date blijft.,"All of the jobs you have matched with stay with you in the app, so you can easily keep up-to-date","Toutes les offres auxquelles vous avez postulé sont sauvegardées dans votre app, pour que vous puissez assurer un suivi efficace.",Alle deine Matches werden in der App gesichert. So bleibst du up-to-date.,"Toutes les offres auxquelles vous avez postulé sont sauvegardées dans votre app, pour que vous puissez assurer un suivi efficace.",Alle deine Matches werden in der App gesichert. So bleibst du up-to-date.,"All of the jobs you have matched with stay with you in the app, so you can easily keep up-to-date",Alle deine Matches werden in der App gesichert. So bleibst du up-to-date.,"All of the jobs you have matched with stay with you in the app, so you can easily keep up-to-date",Wszystkie oferty dopasowane do Twojego profilu są zawsze łatwo dostępne w aplikacji,"Hakemasi työpaikat säilyvät sovelluksessa, joten pysyt helposti ajan tasalla.","Todas las ofertas que has solicitado están guardadas en tu app, para que puedas seguirlas facilmente.","Všechny nabídky, které se pro tebe hodí, budou uloženy v aplikaci.","Elmentjük az állásokat, amikre pályázni akarsz - így naprakész maradhatsz."
preview_detail_3,TRUE,Jobr will never post on your Facebook. You will be invisible to your current employer.,Wir posten nicht in deinem Namen auf Facebook und du bist für deinen Arbeitgeber nicht sichtbar.,Monster will never post on your Facebook. You will be invisible to your current employer.,Jobr will never post on your Facebook. You will be invisible to your current employer.,"Nous ne publierons rien sur Facebook, votre employeur actuel n\'en sera pas informé.","Nous ne publierons rien sur Facebook, votre employeur actuel n\'en sera pas informé.","Nous ne publierons rien sur Facebook, votre employeur actuel n\'en sera pas informé.",Wij plaatsen nooit iets op Facebook. Je bent onzichtbaar voor je huidige werkgever.,Vi kommer aldrig att lägga ut något på din Facebookprofil. Du kommer inte att synas för din nuvarande arbetsgivare.,Monster non pubblicherà mai niente sul tuo profilo Facebook. Rimarrai invisibile al tuo datore di lavoro attuale.,"Nous ne publierons rien sur Facebook, votre employeur actuel n\'en sera pas informé.",Wij plaatsen nooit iets op Facebook. Je bent onzichtbaar voor je huidige werkgever.,Monster will never post on your Facebook. You will be invisible to your current employer.,"Nous ne publierons rien sur Facebook, votre employeur actuel n\'en sera pas informé.",Wir posten nicht in deinem Namen auf Facebook und du bist für deinen Arbeitgeber nicht sichtbar.,"Nous ne publierons rien sur Facebook, votre employeur actuel n\'en sera pas informé.",Wir posten nicht in deinem Namen auf Facebook und du bist für deinen Arbeitgeber nicht sichtbar.,Monster will never post on your Facebook. You will be invisible to your current employer.,Wir posten nicht in deinem Namen auf Facebook und du bist für deinen Arbeitgeber nicht sichtbar.,Monster will never post on your Facebook. You will be invisible to your current employer.,Aplikacja nigdy nie opublikuje treści w Twoim imieniu na Facebooku.,Jobr ei ikinä julkaise mitään Facebookiisi. Pysyt näkymättömänä nykyiselle työnantajallesi.,"No publicaremos nada en Facebook, tu empresa actual no será informada.",Monster nebude nikdy nic zasílat na Facebook. Současný zaměstnavatel nic neuvidí.,"A Jobr soha semmit nem oszt meg a Facebook-on, így a munkaadód nem fog észrevenni."
preview_image_url,FALSE,https://s3-us-west-1.amazonaws.com/jobrimages/public/share.png,,,,,,,,,,,,,,,,,,,,,,,,https://s3-us-west-1.amazonaws.com/jobrimages/public/share.png
preview_title_1,TRUE,Discovering jobs is fun and simple,Ganz einfach Jobs entdecken und darauf bewerben,Discovering jobs is fun and simple,Discovering jobs is fun and simple,"Trouver son prochain job, c\'est simple avec Monster ! ","Découvrir les offres, c\'est simple et fun avec Jobr !","Trouver son prochain job, c\'est simple avec Monster ! ",Vacatures ontdekken is leuk en simpel.,Att hitta nya jobb är enkelt och kul,Scoprire opportunità è facile e divertente,"Trouver son prochain job, c\'est simple avec Monster ! ",Vacatures ontdekken is leuk en simpel.,Discovering jobs is fun and simple,"Trouver son prochain job, c\'est simple avec Monster ! ",Ganz einfach Jobs entdecken und darauf bewerben,"Trouver son prochain job, c\'est simple avec Monster ! ",Ganz einfach Jobs entdecken und darauf bewerben,Discovering jobs is fun and simple,Ganz einfach Jobs entdecken und darauf bewerben,Discovering jobs is fun and simple,Szukanie pracy jest proste i przyjemne,Työpaikkojen löytäminen on hauskaa ja helppoa.,"Encontrar tu próximo empleo, ¡es tan simple con Monster! ",S námi je hledání práce zábava!,Az állások felfedezése egyszerű és mókás
preview_title_2,TRUE,Keep track of jobs you have matched with.,"Behalte im Auge, mit welchen Jobs Du gematched wurdest!",Keep track of jobs you have matched with.,Keep track of jobs you have matched with.,Gardez une trace des jobs auxquels vous avez postulé !,Gardez une trace des jobs auxquels vous avez postulé !,Gardez une trace des jobs auxquels vous avez postulé !,Houd bij op welke vacatures jij hebt gesolliciteerd,Håll reda på jobb som du har matchats med,Tieni traccia di tutte le tue candidature,Gardez une trace des jobs auxquels vous avez postulé !,Houd bij op welke vacatures jij hebt gesolliciteerd,Keep track of jobs you have matched with.,Gardez une trace des jobs auxquels vous avez postulé !,"Behalte im Auge, mit welchen Jobs Du gematched wurdest!",Gardez une trace des jobs auxquels vous avez postulé !,"Behalte im Auge, mit welchen Jobs Du gematched wurdest!",Keep track of jobs you have matched with.,"Behalte im Auge, mit welchen Jobs Du gematched wurdest!",Keep track of jobs you have matched with.,Monitoruj oferty dopasowane do Twojego profilu,Seuraa hakemiasi tehtäviä.,Guarda un registro de las ofertas que has solicitado.,Sleduj ty pravé nabídky pro tebe.,Nyomon követheted azokat az állásokat.
